entity_name,address_and_city,state,zip,country,unique_id,entity_id
ACME HOLDINGS LTD,,,,,0,0
SAPPHIRE VENTURES,SAPPHIRE VENTURES,,,,1,1
JA NE CYRUS,JA NE CYRUS,,,,2,2
ROBERT JAMES,ROBERT JAMES,,,,3,3
MARIA CHEN,MARIA CHEN,,,,4,4
ORBITA L SYSTEMS GMBH,,,,,5,5
TYCHO FEEDER FUND,INC SG SGP,,,,6,6
ACME TRUST INC,LONDON,,,GB,7,7
ACME INVESTMENTS LTD,,,,,8,8
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,9,9
TYCHO FEEDER FUND,INC ROAD TOWN TORTOLA,,,VG,10,10
BANK OF CYPRUS SG SGP,BANK OF CYPRUS SG SGP,,,CY,11,11
GLOBAL HOLDINGS LTD,ZURICH CHE,,,,12,12
PA CIFIC TRUST INC,,,,,13,13
ACME INVESTMENTS LTD,,NY,10003,US,14,14
GLOBAL METALS,GLOBAL METALS,,,SA,15,15
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,16,16
BANK OF CYPRUS ZURICH CHE,BANK OF CYPRUS ZURICH CHE,,,CY,17,17
ALPHA TRUST FBO JANE DOE LONDON,ALPHA TRUST FBO JANE DOE LONDON,,,GB,18,18
EASTERN MERCHANTS PTE LTD,,,,,19,19
TYCHO FEEDER FUND,INC LOS ANGELES,CA,90210,US,20,20
EASTERN MERCHA NTS PTE LTD,LOS ANGELES,CA,90210,US,21,21
JOHN DOE NY 10003 NY,JOHN DOE,NY,10003,US,22,22
BANK OF CYPRUS NY 10003 NY,BANK OF CYPRUS,NY,10003,US,23,23
ACME TRUST INC,,NY,10003,US,24,24
HARBOR A DVISORS LP,LOS ANGELES,CA,90210,US,25,25
HARBOR ADVISORS LP,,,,,26,26
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,27,27
ACME INVESTMENTS LTD,ZURICH CHE,,,,28,28
ACME INVESTMENTS LTD,,NY,10003,US,29,14
