entity_name,address_and_city,state,zip,country,unique_id,entity_id
ACME HOLDINGS LTD,,,,,0,0
SAPPHIRE VENTURES,SAPPHIRE VENTURES,,,,1,1
JA NE CYRUS,JA NE CYRUS,,,,2,2
ROBERT JAMES,ROBERT JAMES,,,,3,3
MARIA CHEN,MARIA CHEN,,,,4,4
ORBITA L SYSTEMS GMBH,,,,,5,5
TYCHO FEEDER FUND,INC SG SGP,,,,6,6
ACME TRUST INC,LONDON,,,GB,7,6
ACME INVESTMENTS LTD,,,,,8,6
ACME INVESTMENTS LTD,ROAD TOWN TORTOLA,,,VG,9,6
TYCHO FEEDER FUND,INC ROAD TOWN TORTOLA,,,VG,10,6
BANK OF CYPRUS SG SGP,BANK OF CYPRUS SG SGP,,,CY,11,6
GLOBAL HOLDINGS LTD,ZURICH CHE,,,,12,6
PA CIFIC TRUST INC,,,,,13,6
ACME INVESTMENTS LTD,,NY,10003,US,14,6
GLOBAL METALS,GLOBAL METALS,,,SA,15,15
ACME INVESTMENTS LTD,LOS ANGELES,CA,90210,US,16,6
BANK OF CYPRUS ZURICH CHE,BANK OF CYPRUS ZURICH CHE,,,CY,17,6
ALPHA TRUST FBO JANE DOE LONDON,ALPHA TRUST FBO JANE DOE LONDON,,,GB,18,18
EASTERN MERCHANTS PTE LTD,,,,,19,6
TYCHO FEEDER FUND,INC LOS ANGELES,CA,90210,US,20,6
EASTERN MERCHA NTS PTE LTD,LOS ANGELES,CA,90210,US,21,6
JOHN DOE NY 10003 NY,JOHN DOE,NY,10003,US,22,6
BANK OF CYPRUS NY 10003 NY,BANK OF CYPRUS,NY,10003,US,23,6
ACME TRUST INC,,NY,10003,US,24,6
HARBOR A DVISORS LP,LOS ANGELES,CA,90210,US,25,6
HARBOR ADVISORS LP,,,,,26,6
BANK OF CYPRUS,BANK OF CYPRUS,,,CY,27,6
ACME INVESTMENTS LTD,ZURICH CHE,,,,28,6
ACME INVESTMENTS LTD,,NY,10003,US,29,6
